entry_num,item1,item1_EN,item2,item2_EN,item3plus,item3plus_EN,compatibility,reason,pg_num,source
1,麵包,bread,核桃,walnut,N/A,N/A,good,預防心臟病,57,吃對食物健康100分
2,麵包,bread,萵苣,lettuce,N/A,N/A,good,促進吸收鐵質,57,吃對食物健康100分
3,麵包,bread,奶酥,butter biscuit; soufflé,N/A,N/A,bad,熱量過高易發胖,57,吃對食物健康100分
4,麵包,bread,巧克力,chocolate,N/A,N/A,bad,糖分含量過高,57,吃對食物健康100分
5,麵條,noodle,牡蠣,oyster,N/A,N/A,good,預防感冒、促進發育,59,吃對食物健康100分
6,麵條,noodle,芝麻,sesame seed,N/A,N/A,good,調節蛋白質代謝,59,吃對食物健康100分
7,麵條,noodle,番茄,tomato,N/A,N/A,good,消除疲勞、提高免疫力,59,吃對食物健康100分
8,麵條,noodle,鮮蛤蜊,fresh clam,N/A,N/A,bad,破壞維生素B1,59,吃對食物健康100分
9,麵條,noodle,蘋果,apple,N/A,N/A,bad,噁心、腹痛,59,吃對食物健康100分
10,腰果,cashew,大蒜,garlic,N/A,N/A,good,護膚、集中注意力,60,吃對食物健康100分
11,腰果,cashew,蝦仁,shrimp,N/A,N/A,good,豐潤毛髮、減輕關節炎疼痛,60,吃對食物健康100分
12,腰果,cashew,鮮蛤蜊,fresh clam,N/A,N/A,bad,破壞維生素B1,60,吃對食物健康100分
13,腰果,cashew,酒,wine; liqueur,N/A,N/A,bad,容易形成脂肪肝,60,吃對食物健康100分
14,杏仁,almond,枇杷,loquat,N/A,N/A,good,防癌、抗老,61,吃對食物健康100分
15,杏仁,almond,牛奶,milk,N/A,N/A,good,提高免疫力,61,吃對食物健康100分
16,杏仁,almond,麥片,oatmeal,N/A,N/A,bad,干擾鈣質吸收,61,吃對食物健康100分
17,杏仁,almond,醋,vinegar,N/A,N/A,bad,營養價值流失,61,吃對食物健康100分
18,薏仁,job's tear; pearl barley,龍眼,longan,N/A,N/A,good,改善皮膚乾燥與粗燥,62,吃對食物健康100分
19,薏仁,job's tear; pearl barley,紅豆,azuki bean; adzuki bean,N/A,N/A,good,預防貧血、刺激食慾,62,吃對食物健康100分
20,薏仁,job's tear; pearl barley,海帶,kelp,N/A,N/A,bad,靜脈曲張、瘀血,62,吃對食物健康100分
21,燕麥,oatmeal,黃豆,soybean,N/A,N/A,good,幫助成長發育,63,吃對食物健康100分
22,燕麥,oatmeal,香菇,mushroom,N/A,N/A,good,防癌、抗老,63,吃對食物健康100分
23,燕麥,oatmeal,菠菜,spinach,N/A,N/A,bad,阻礙鈣質的攝取,63,吃對食物健康100分
24,芝麻,sesame seed,蔥,scallion; green onion,N/A,N/A,good,護膚、集中注意力,64,吃對食物健康100分
25,芝麻,sesame seed,檸檬,lemon,N/A,N/A,good,紅潤臉色、預防貧血,64,吃對食物健康100分
26,芝麻,sesame seed,巧克力,chocolate,N/A,N/A,bad,影響吸收、消化,64,吃對食物健康100分
27,芝麻,sesame seed,豬肉,pork,N/A,N/A,bad,影響蛋白質的消化,64,吃對食物健康100分
28,蓮子,lotus seed,花生,peanut,N/A,N/A,good,幫助骨骼成長,65,吃對食物健康100分
29,蓮子,lotus seed,白木耳,white fungus; white wood ear,N/A,N/A,good,強健骨骼、牙齒,65,吃對食物健康100分
30,蓮子,lotus seed,麥片,oatmeal,N/A,N/A,bad,影響鈣質吸收,65,吃對食物健康100分
31,蓮子,lotus seed,黃豆,soybean,N/A,N/A,bad,腹瀉、腹脹,65,吃對食物健康100分
32,糙米,brown rice,芝麻,sesame seed,N/A,N/A,good,維持皮膚健康、預防動脈硬化,66,吃對食物健康100分
33,糙米,brown rice,南瓜,pumpkin,N/A,N/A,good,預防貧血、疲勞,66,吃對食物健康100分
34,糙米,brown rice,羊肉,lamb; mutton,N/A,N/A,bad,使蛋白質的消化困難,66,吃對食物健康100分
35,糙米,brown rice,牛肝,beef liver,N/A,N/A,bad,阻礙對礦物質的攝取,66,吃對食物健康100分
36,小米,millet,黃豆,soybean,N/A,N/A,good,保健眼睛與皮膚,67,吃對食物健康100分
37,小米,millet,胡蘿蔔,carrot,N/A,N/A,good,延遲老化,67,吃對食物健康100分
38,小米,millet,醋,vinegar,N/A,N/A,bad,營養價值流失,67,吃對食物健康100分
39,小米,millet,蛋,egg,N/A,N/A,bad,引起腸胃病,67,吃對食物健康100分
40,粳米,japonica rice,山藥,chinese yam; common yam,N/A,N/A,good,預防貧血、消除疲勞,69,吃對食物健康100分
41,粳米,japonica rice,香菇,mushroom,N/A,N/A,good,對骨骼與牙齒有益,69,吃對食物健康100分
42,粳米,japonica rice,青菜,vegetable,N/A,N/A,good,促進成長發育,69,吃對食物健康100分
43,粳米,japonica rice,牛肉,beef,N/A,N/A,bad,不利消化,69,吃對食物健康100分
44,粳米,japonica rice,豬肝,pork liver,N/A,N/A,bad,阻礙人體吸收鐵質,69,吃對食物健康100分
45,糯米,glutinous rice; sticky rice,蓮子,lotus seed,N/A,N/A,good,幫助骨骼發育,71,吃對食物健康100分
46,糯米,glutinous rice; sticky rice,百合,lily bulb; lily bud,N/A,N/A,good,改善氣色、消除疲勞,71,吃對食物健康100分
